Location,Indicator,Sector,Units,Scale,Measurement,2024,Source,Seasonally adjusted,Base year price,Base year index,Historical end,Date of last update,Source details,Additional source details,Contact email,Location code,Indicator code
South East,Claimant count unemployment,Whole Economy,People,thousands,Level values,177.57,National Statistics,FALSE,,,2025,24-Feb-26,"National Statistics, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,UNMP
South East,Employee jobs,Accommodation and food service,Jobs,thousands,Level values,317.12,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEII
South East,Employee jobs,Administrative and support ,Jobs,thousands,Level values,339.97,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EENN
South East,Employee jobs,"Agriculture, forestry and fishing",Jobs,thousands,Level values,31.83,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEAA
South East,Employee jobs,"Arts, entertainment and rec.",Jobs,thousands,Level values,106.79,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EERR
South East,Employee jobs,Basic metals and metal products,Jobs,thousands,Level values,28.23,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCH
South East,Employee jobs,Basic pharmaceutical products,Jobs,thousands,Level values,3.64,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCF
South East,Employee jobs,Chemicals and chemical products,Jobs,thousands,Level values,11.24,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCE
South East,Employee jobs,Coke and refined petroleum products,Jobs,thousands,Level values,1.3,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCD
South East,Employee jobs,"Computer, electronic and optical products",Jobs,thousands,Level values,28.87,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCI
South East,Employee jobs,Construction,Jobs,thousands,Level values,217.55,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEFF
South East,Employee jobs,Electrical equipment,Jobs,thousands,Level values,11.03,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCJ
South East,Employee jobs,"Electricity, gas, steam and air ",Jobs,thousands,Level values,15.57,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEDD
South East,Employee jobs,Financial and insurance ,Jobs,thousands,Level values,106.1,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEKK
South East,Employee jobs,"Food products, beverages and tobacco",Jobs,thousands,Level values,33.43,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCA
South East,Employee jobs,Human health and social work ,Jobs,thousands,Level values,594.72,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEQQ
South East,Employee jobs,Information and communication,Jobs,thousands,Level values,250.55,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEJJ
South East,Employee jobs,Machinery and equipment nec,Jobs,thousands,Level values,18.97,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCK
South East,Employee jobs,Manufacturing - Total,Jobs,thousands,Level values,251.41,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECC
South East,Employee jobs,Mining and quarrying,Jobs,thousands,Level values,2.13,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEBB
South East,Employee jobs,Other manufacturing and repair,Jobs,thousands,Level values,47.55,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCM
