"DATE_NAME","DATE_CODE","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","AGE_NAME","OBS_VALUE","OBS_STATUS"
"2024","2024","Darlington","E06000005","Total","All ages",112489,"A"
"2024","2024","County Durham","E06000047","Total","All ages",538011,"A"
"2024","2024","Hartlepool","E06000001","Total","All ages",98180,"A"
"2024","2024","Middlesbrough","E06000002","Total","All ages",156161,"A"
"2024","2024","Northumberland","E06000057","Total","All ages",331420,"A"
"2024","2024","Redcar and Cleveland","E06000003","Total","All ages",139228,"A"
"2024","2024","Stockton-on-Tees","E06000004","Total","All ages",206800,"A"
"2024","2024","Gateshead","E08000037","Total","All ages",202760,"A"
"2024","2024","Newcastle upon Tyne","E08000021","Total","All ages",320605,"A"
"2024","2024","North Tyneside","E08000022","Total","All ages",215025,"A"
"2024","2024","South Tyneside","E08000023","Total","All ages",151393,"A"
"2024","2024","Sunderland","E08000024","Total","All ages",288606,"A"
"2024","2024","Blackburn with Darwen","E06000008","Total","All ages",162540,"A"
"2024","2024","Blackpool","E06000009","Total","All ages",144191,"A"
"2024","2024","Cheshire East","E06000049","Total","All ages",421298,"A"
"2024","2024","Cheshire West and Chester","E06000050","Total","All ages",371652,"A"
"2024","2024","Halton","E06000006","Total","All ages",131543,"A"
"2024","2024","Warrington","E06000007","Total","All ages",215391,"A"
"2024","2024","Allerdale","E07000026","Total","All ages",,"Q"
"2024","2024","Barrow-in-Furness","E07000027","Total","All ages",,"Q"
"2024","2024","Carlisle","E07000028","Total","All ages",,"Q"
"2024","2024","Copeland","E07000029","Total","All ages",,"Q"
"2024","2024","Eden","E07000030","Total","All ages",,"Q"
"2024","2024","South Lakeland","E07000031","Total","All ages",,"Q"
"2024","2024","Bolton","E08000001","Total","All ages",310085,"A"
"2024","2024","Bury","E08000002","Total","All ages",198921,"A"
"2024","2024","Manchester","E08000003","Total","All ages",589670,"A"
"2024","2024","Oldham","E08000004","Total","All ages",251560,"A"
"2024","2024","Rochdale","E08000005","Total","All ages",235561,"A"
"2024","2024","Salford","E08000006","Total","All ages",294348,"A"
"2024","2024","Stockport","E08000007","Total","All ages",303929,"A"
"2024","2024","Tameside","E08000008","Total","All ages",239643,"A"
"2024","2024","Trafford","E08000009","Total","All ages",241025,"A"
"2024","2024","Wigan","E08000010","Total","All ages",344922,"A"
"2024","2024","Burnley","E07000117","Total","All ages",99233,"A"
